dataset,booleanizer,n_rows,n_features,n_bits,fit_ms,transform_us_per_sample,packed_us_per_sample
WUSTL,glade15,3264,32,236,7.29,0.330,0.315
WUSTL,standard25,3264,32,391,0.36,0.260,0.379
WUSTL,kbins8_quantile,3264,32,107,2.08,0.240,0.262
WUSTL,kbins8_uniform,3264,32,203,0.34,0.442,0.352
WUSTL,thermo8,3264,32,224,0.00,0.149,0.173
NSLKDD,glade15,29704,118,247,71.30,0.839,0.798
NSLKDD,standard25,29704,118,694,9.55,0.811,0.901
NSLKDD,kbins8_quantile,29704,118,175,48.29,0.795,0.808
NSLKDD,kbins8_uniform,29704,118,791,19.85,1.503,1.696
NSLKDD,thermo8,29704,118,826,0.00,0.715,0.969
TonIoT,glade15,42209,38,116,33.66,0.314,0.322
TonIoT,standard25,42209,38,268,4.07,0.317,0.384
TonIoT,kbins8_quantile,42209,38,72,21.91,0.244,0.258
TonIoT,kbins8_uniform,42209,38,266,7.17,0.468,0.531
TonIoT,thermo8,42209,38,266,0.00,0.198,0.242
MedSec,glade15,110907,54,353,128.69,1.385,1.403
MedSec,standard25,110907,54,1147,20.71,1.048,1.322
MedSec,kbins8_quantile,110907,54,128,92.09,0.556,0.568
MedSec,kbins8_uniform,110907,54,378,35.22,0.870,0.991
MedSec,thermo8,110907,54,378,0.00,0.347,0.451
