dataset,booleanizer,n_rows,n_features,n_bits,fit_ms,transform_us,packed_us
WUSTL,fast_glade15,3264,32,236,31.98,0.162,0.163
WUSTL,glade15,3264,32,236,31.19,1.555,1.777
WUSTL,standard25,3264,32,391,1.53,0.905,1.096
WUSTL,kbins8_quantile,3264,32,107,6.16,0.660,0.737
WUSTL,kbins8_uniform,3264,32,203,1.49,1.042,1.167
WUSTL,thermo8,3264,32,224,0.00,0.459,0.500
NSLKDD,fast_glade15,29704,118,247,259.51,0.220,0.219
NSLKDD,glade15,29704,118,247,258.31,1.984,2.184
NSLKDD,standard25,29704,118,694,27.49,3.829,4.200
NSLKDD,kbins8_quantile,29704,118,175,127.04,3.543,3.634
NSLKDD,kbins8_uniform,29704,118,791,36.93,6.064,6.559
NSLKDD,thermo8,29704,118,826,0.00,1.803,2.373
TonIoT,fast_glade15,42209,38,116,125.30,0.094,0.093
TonIoT,glade15,42209,38,116,125.08,1.281,1.389
TonIoT,standard25,42209,38,268,17.27,1.604,1.772
TonIoT,kbins8_quantile,42209,38,72,67.20,1.200,1.231
TonIoT,kbins8_uniform,42209,38,266,21.68,2.075,2.233
TonIoT,thermo8,42209,38,266,0.00,0.577,0.738
MedSec,fast_glade15,110907,54,353,546.53,0.287,0.229
MedSec,glade15,110907,54,353,545.17,4.557,4.775
MedSec,standard25,110907,54,1147,87.66,3.477,4.011
MedSec,kbins8_quantile,110907,54,128,257.88,1.755,1.779
MedSec,kbins8_uniform,110907,54,378,83.79,3.021,3.260
MedSec,thermo8,110907,54,378,0.00,0.906,1.102
