model,toni_ot_macro_f1,medsec_macro_f1,wustl_macro_f1,nsl_kdd_macro_f1
XGBoost,0.9516,0.9000,0.8207,0.9488
XGBoost_Cmatched,0.9498,0.8973,0.7936,0.9434
RandomForest,0.9478,0.8967,0.7285,0.8445
RandomForest_Cmatched,0.8232,0.8027,0.7187,0.5798
DecisionTree,0.9210,0.8861,0.7608,0.7965
DecisionTree_Lmatched,0.9510,0.8929,0.7731,0.8956
LogisticRegression,0.5819,0.6013,0.7201,0.8709
LinearSVM,0.5810,0.5216,0.7214,0.8508
NaiveBayes,0.3272,0.1945,0.3853,0.4449
kNN_5,0.9443,0.8799,0.8165,0.8881
MLP_tiny,0.6674,0.4555,0.6447,0.7369
MLP_small,0.7515,0.2877,0.6357,0.7580
MLP_med,0.7389,0.4474,0.6457,0.7173
MLP_C,0.8474,0.7359,0.6383,0.7245
MLP_2C,0.7839,0.6304,0.6375,0.7400
Python_TM_FPTM,0.9436,0.8694,0.8055,0.9380
Julia_TM_FPTM,0.9437,0.8711,0.8021,0.9377
